E: 3.339855 0003 0001 12292	# EV_ABS / ABS_Y                12292
E: 3.339855 0003 0018 2168	# EV_ABS / ABS_PRESSURE         2168
E: 3.339855 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.339855 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.344847 0003 0001 12294	# EV_ABS / ABS_Y                12294
E: 3.344847 0003 0018 2171	# EV_ABS / ABS_PRESSURE         2171
E: 3.344847 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.344847 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.354847 0003 0001 12296	# EV_ABS / ABS_Y                12296
E: 3.354847 0003 0018 2174	# EV_ABS / ABS_PRESSURE         2174
E: 3.354847 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.354847 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.359829 0003 0001 12298	# EV_ABS / ABS_Y                12298
E: 3.359829 0003 0018 2177	# EV_ABS / ABS_PRESSURE         2177
E: 3.359829 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.359829 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.369867 0003 0001 12300	# EV_ABS / ABS_Y                12300
E: 3.369867 0003 0018 2179	# EV_ABS / ABS_PRESSURE         2179
E: 3.369867 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.369867 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.374856 0003 0001 12302	# EV_ABS / ABS_Y                12302
E: 3.374856 0003 0018 2181	# EV_ABS / ABS_PRESSURE         2181
E: 3.374856 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.374856 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.384618 0003 0001 12304	# EV_ABS / ABS_Y                12304
E: 3.384618 0003 0018 2183	# EV_ABS / ABS_PRESSURE         2183
E: 3.384618 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.384618 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.389829 0003 0001 12306	# EV_ABS / ABS_Y                12306
E: 3.389829 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.389829 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.398754 0003 0000 20692	# EV_ABS / ABS_X                20692
E: 3.398754 0003 0001 12308	# EV_ABS / ABS_Y                12308
E: 3.398754 0003 0018 2184	# EV_ABS / ABS_PRESSURE         2184
